precio,producto_id,sucursal_id
29.9,0000000002288,2-1-187
39.9,0000000002288,2-3-247
499.99,0000000205870,9-1-685
539.99,0000000205870,9-2-22
519.99,0000000205870,9-2-59
539.99,0000000205870,9-3-138
589.99,0000000205894,9-1-685
189.99,0000000205955,9-1-685
104.99,0000000205979,9-1-685
229.0,0000000206020,9-1-685
279.99,0000000206044,9-1-685
229.99,0000000206051,9-1-685
459.99,0000000206105,9-1-685
389.99,0000000206136,9-1-685
299.99,0000000206143,9-1-685
339.99,0000000206181,9-1-685
339.99,0000000206198,9-1-685
369.99,0000000206235,9-1-685
399.99,0000000206280,9-1-685
414.99,0000000206297,9-1-685
399.99,0000000206303,9-1-685
399.99,0000000206310,9-1-685
559.99,0000000206334,9-1-685
419.99,0000000206358,9-1-685
559.99,0000000206693,9-1-685
259.99,0000000206907,9-1-685
289.99,0000000216616,9-1-685
249.0,0000000221184,9-1-232
259.0,0000000221184,9-2-233
439.0,0000000221184,9-2-953
729.0,0000000230407,9-1-860
729.0,0000000230407,9-3-5222
68.9,0000000231688,9-1-232
69.9,0000000231688,9-2-233
110.0,0000000231688,9-2-953
859.0,0000000274357,9-1-860
375.0,0000000280037,9-1-860
394.0,0000000280037,9-3-5222
519.0,0000000280204,9-1-730
545.0,0000000280204,9-3-5227
369.0,0000000280259,9-1-730
339.0,0000000280259,9-3-5227
449.0,0000000286848,9-1-730
471.0,0000000286848,9-3-5227
323.0,0000000288132,9-1-433
340.0,0000000288132,9-3-5216
375.9,0000000288989,9-1-232
375.9,0000000288989,9-2-233
227.9,0000000289153,9-1-232
227.9,0000000289153,9-2-233
465.9,0000000289177,9-1-232
465.9,0000000289177,9-2-233
233.9,0000000896887,9-1-232
233.9,0000000896887,9-2-233
185.99,0000001034448,15-1-543
229.0,0000001307504,9-1-860
229.0,0000001307504,9-2-22
229.0,0000001307504,9-3-138
229.0,0000001312409,9-1-860
229.0,0000001312409,9-2-22
229.0,0000001312409,9-3-138
37.9,0000002130828,10-1-178
37.9,0000002130828,10-2-119
39.8,0000002130835,10-1-235
39.8,0000002130835,10-2-119
115.0,0000004016205,9-3-5218
129.0,0000007933622,9-3-138
129.0,0000007935725,9-3-138
269.0,0000020336820,9-2-233
269.0,0000020336820,9-3-138
1.39,0000026031101,25-1-1
269.0,0000027189368,9-2-22
269.0,0000027189368,9-3-138
105.0,0000040084107,10-1-26
105.0,0000040084107,10-2-118
105.0,0000040084107,10-3-721
104.99,0000040084107,12-1-109
111.29,0000040084107,12-1-185
114.0,0000040084107,13-1-108
109.0,0000040084107,13-1-125
116.0,0000040084107,13-1-52
103.99,0000040084107,15-1-543
123.0,0000040084107,2-1-017
109.0,0000040084107,2-1-036
116.0,0000040084107,2-1-177
112.0,0000040084107,2-1-187
116.0,0000040084107,2-2-230
112.0,0000040084107,2-2-242
112.0,0000040084107,2-3-246
116.0,0000040084107,2-3-247
115.5,0000040084107,21-1-1
118.75,0000040084107,6-1-17
118.75,0000040084107,6-2-1
105.0,0000040084107,9-1-973
105.0,0000040084107,9-2-22
105.0,0000040084107,9-3-138
64.0,0000040786186,10-1-47
96.72,0000040786186,47-1-1
97.0,0000040786186,9-1-685
103.0,0000040786186,9-1-942
102.9,0000040786186,9-2-22
102.9,0000040786186,9-3-138
199.0,0000041007723,9-3-5216
168.1,0000042096276,1-1-7
158.82,0000042096276,47-1-1
204.65,0000042096276,6-1-17
204.65,0000042096276,6-2-1
160.9,0000042126560,1-1-7
166.0,0000042126560,10-1-159
160.0,0000042126560,10-1-18
162.0,0000042126560,10-1-210
161.0,0000042126560,10-1-9
162.99,0000042126560,16-1-1002
167.85,0000042126560,16-1-1402
188.25,0000042126560,16-1-1502
165.0,0000042126560,2-1-036
181.0,0000042126560,2-1-177
174.0,0000042126560,2-1-187
197.06,0000042126560,47-1-1
188.3,0000042126560,5-1-5
204.65,0000042126560,6-1-17
204.65,0000042126560,6-2-1
204.49,0000042126560,7-1-37
163.0,0000042126560,9-1-685
163.0,0000042126560,9-2-22
163.0,0000042126560,9-3-138
100.0,0000042149996,10-1-46
87.0,0000042149996,10-1-47
86.0,0000042149996,10-1-9
87.0,0000042149996,10-2-118
85.0,0000042149996,16-1-1202
87.0,0000042149996,16-1-2802
99.95,0000042149996,16-1-702
119.49,0000042149996,21-1-1
96.72,0000042149996,47-1-1
100.0,0000042149996,9-1-550
87.5,0000042149996,9-2-22
99.0,0000042149996,9-2-233
87.5,0000042149996,9-3-138
285.0,0000042171850,9-1-860
249.0,0000042171850,9-2-22
325.0,0000042171850,9-3-5222
339.0,0000042171850,9-3-5227
229.0,0000042172536,9-1-430
209.0,0000042172536,9-2-59
215.0,0000042172536,9-2-953
100.99,0000042207573,16-1-1402
499.0,0000042211051,9-1-402
439.0,0000042211051,9-1-685
505.0,0000042211051,9-1-860
449.0,0000042211051,9-2-22
449.0,0000042211051,9-3-138
655.0,0000042211051,9-3-5216
445.0,0000042211051,9-3-5218
579.0,0000042211051,9-3-5222
609.0,0000042211051,9-3-5227
160.9,0000042231301,1-1-7
119.0,0000042231301,10-1-159
160.0,0000042231301,10-1-18
163.0,0000042231301,10-1-210
161.0,0000042231301,10-1-9
162.99,0000042231301,12-1-109
172.79,0000042231301,12-1-185
162.94,0000042231301,16-1-1202
162.99,0000042231301,16-1-1402
188.25,0000042231301,16-1-1502
166.0,0000042231301,2-1-036
181.0,0000042231301,2-1-177
174.0,0000042231301,2-1-187
197.07,0000042231301,47-1-1
188.3,0000042231301,5-1-5
204.65,0000042231301,6-1-17
204.65,0000042231301,6-2-1
163.0,0000042231301,9-1-685
163.0,0000042231301,9-2-22
163.0,0000042231301,9-3-138
215.5,0000042231486,1-1-7
262.0,0000042231486,10-1-142
236.0,0000042231486,10-1-18
244.0,0000042231486,10-1-233
241.0,0000042231486,10-1-235
234.0,0000042231486,10-1-26
276.0,0000042231486,10-1-48
