precio,producto_id,sucursal_id
29.9,0000000002288,2-1-009
32.9,0000000002288,2-1-037
36.9,0000000002288,2-1-090
39.9,0000000002288,2-3-247
499.99,0000000205870,9-1-430
539.99,0000000205870,9-2-4
539.99,0000000205870,9-3-5205
589.99,0000000205894,9-1-430
189.99,0000000205955,9-1-430
104.99,0000000205979,9-1-430
259.99,0000000206020,9-1-430
279.99,0000000206044,9-1-430
229.99,0000000206051,9-1-430
459.99,0000000206105,9-1-430
389.99,0000000206136,9-1-430
299.99,0000000206143,9-1-430
339.99,0000000206181,9-1-430
339.99,0000000206198,9-1-430
323.99,0000000206235,9-1-430
369.99,0000000206235,9-1-688
329.99,0000000206280,9-1-430
399.99,0000000206280,9-1-688
339.99,0000000206297,9-1-430
414.99,0000000206297,9-1-688
329.99,0000000206303,9-1-430
399.99,0000000206303,9-1-688
399.99,0000000206310,9-1-430
559.99,0000000206334,9-1-430
419.99,0000000206358,9-1-430
559.99,0000000206693,9-1-430
259.99,0000000206907,9-1-430
289.99,0000000216616,9-1-430
249.0,0000000221184,9-1-478
259.0,0000000221184,9-2-725
439.0,0000000221184,9-2-953
729.0,0000000230407,9-1-868
729.0,0000000230407,9-3-5251
68.9,0000000231688,9-1-478
69.9,0000000231688,9-2-725
110.0,0000000231688,9-2-953
859.0,0000000274357,9-1-868
375.0,0000000280037,9-1-868
394.0,0000000280037,9-3-5222
519.0,0000000280204,9-1-243
545.0,0000000280204,9-3-5251
369.0,0000000280259,9-1-243
339.0,0000000280259,9-3-5251
449.0,0000000286848,9-1-243
471.0,0000000286848,9-3-5251
375.9,0000000288989,9-1-478
375.9,0000000288989,9-2-725
227.9,0000000289153,9-1-478
227.9,0000000289153,9-2-725
465.9,0000000289177,9-1-478
465.9,0000000289177,9-2-725
233.9,0000000896887,9-1-478
233.9,0000000896887,9-2-725
185.99,0000001034448,15-1-398
229.0,0000001307504,9-1-194
229.0,0000001307504,9-2-4
229.0,0000001307504,9-3-5205
229.0,0000001312409,9-1-194
229.0,0000001312409,9-2-4
229.0,0000001312409,9-3-5205
37.9,0000002130828,10-1-178
39.8,0000002130835,10-1-178
115.0,0000004016205,9-3-5218
129.0,0000007933622,9-2-4
129.0,0000007933622,9-3-5205
129.0,0000007935725,9-2-4
129.0,0000007935725,9-3-5205
269.0,0000020336820,9-2-4
269.0,0000020336820,9-3-5205
1.39,0000026031101,25-1-1
269.0,0000027189368,9-3-5205
105.0,0000040084107,10-1-2
105.0,0000040084107,10-2-216
111.29,0000040084107,12-1-185
104.99,0000040084107,12-1-188
109.0,0000040084107,13-1-126
114.0,0000040084107,13-1-82
103.99,0000040084107,15-1-398
116.0,0000040084107,2-1-009
109.0,0000040084107,2-1-037
112.0,0000040084107,2-1-103
116.0,0000040084107,2-2-230
112.0,0000040084107,2-2-242
112.0,0000040084107,2-3-246
116.0,0000040084107,2-3-247
115.0,0000040084107,29-1-7
118.75,0000040084107,6-1-23
118.75,0000040084107,6-2-21
105.0,0000040084107,9-1-655
105.0,0000040084107,9-2-4
105.0,0000040084107,9-3-5205
150.0,0000040122342,10-1-2
150.0,0000040122342,10-2-216
183.9,0000040122380,10-1-2
183.9,0000040122380,10-2-216
177.0,0000040122526,10-1-2
177.0,0000040122526,10-2-216
96.72,0000040786186,47-1-3
97.0,0000040786186,9-1-430
102.9,0000040786186,9-2-4
102.9,0000040786186,9-3-5205
168.0,0000040804927,10-1-2
168.0,0000040804927,10-2-216
168.0,0000040804934,10-1-2
168.0,0000040804934,10-2-216
