id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
0000023529953,CASTELMAR,Dulce de Leche Castelmar 1 Kg,1.0 kg,Frescos,Lácteos,,inferida
0000026031101,ESTEBAN,Bolsas Verdes 45x60 Cm Esteban 1 Un,1.0 un,Limpieza,Descartables,,inferida
0000027189368,MAZZETTI,Aceto Balsamico en Botella Mazzetti 250 Ml,250.0 ml,,,,sin clasificar
0000030108417,MAYBELLINE,Mascara para Pestañas Maybelline Volum Express 10 Gr,1.0 un,,,,sin clasificar
0000030108493,MAYBELLINE,Mascara Pestañas Maybelline Volume 1 Un,1.0 un,,,,sin clasificar
0000030114326,EMOLAN,Mascara para Pestañas Max Lash Negro Emolan 1 Un,1.0 un,,,,sin clasificar
0000040084107,KINDER,Huevo de Chocolate Sorpresa Kinder 20 Gr,20.0 gr,Almacén,Snacks y Golosinas,,inferida
0000040122342,KÜHNE,Mostaza Fuerte Khune 250 Ml,250.0 ml,Almacén,Condimentos y Salsas,,inferida
0000040122380,KUHNE,Mostaza con Hierbas Frasco Kuhne 250 Gr,250.0 gr,Almacén,Condimentos y Salsas,,inferida
0000040122526,KUHNE,Mostaza en Granos Frasco Kuhne 250 Gr,250.0 gr,Almacén,Condimentos y Salsas,,inferida
0000040786186,LOWENBRAU,Cerveza Rubia Lowenbrau 330 Ml,330.0 ml,Bebidas con Alcohol,Cervezas,,inferida
0000040804927,KHUNE,Salsa Gourmet Steak Khune 250 Ml,250.0 ml,Almacén,Condimentos y Salsas,,inferida
0000040804934,KUHNE,Salsa Gourmet Mexico Pet Kuhne 250 Cc,250.0 cc,Almacén,Condimentos y Salsas,,inferida
0000040804996,KHUNE,Salsa Gourmet Gitana Khune 250 Ml,250.0 ml,Almacén,Condimentos y Salsas,,inferida
0000041007723,KONIG PILSENER,Cerveza Rubia en Lata Konig Pilsener 500 Ml,500.0 ml,Bebidas con Alcohol,Cervezas,,inferida
0000041024355,BITBURGER,Cerveza Rubia en Lata Draft Bitburger 500 Ml,500.0 ml,Bebidas con Alcohol,Cervezas,,inferida
0000042096276,NIVEA,Desodorante Antitranspirante Mujer en Barra Nivea Comfort 43 Ml,40.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000042126560,NIVEA,Desodorante Atitranspirante Nivea Pearl & Beauty 43 Ml,40.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000042149996,BECKS,Cerveza Rubia Porron Becks 330 Ml,330.0 ml,Bebidas con Alcohol,Cervezas,,inferida
0000042171850,NIVEA,Gel de Limpieza Exfoliante Nivea 75 Ml,75.0 ml,,,,sin clasificar
0000042172536,NIVEA,Gel Limpieza Equilibrante Nivea Visage 150 Ml,150.0 ml,,,,sin clasificar
0000042207573,NIVEA,Crema Nivea Soft 50 Ml,50.0 ml,,,,sin clasificar
0000042211051,NIVEA,Tonico Nivea Desmaquillante de Ojos Bifasico 125 Cc,125.0 cc,,,,sin clasificar
0000042231301,NIVEA,Desodorante Antitranspirante en Barra Nivea Sensitive Protect 43 Gr,43.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000042231486,NIVEA,Gel Exfoliante en Pomo Nivea Visage 75 Ml,75.0 ml,,,,sin clasificar
0000042231509,NIVEA,Gel Limpiador Equilibrante en Pomo Nivea Visage 150 Gr,150.0 gr,Limpieza,Cocina y Baño,,inferida
0000042269847,NIVEA,Desmaquillador de Ojos en Frasco Nivea Visage 125 Ml,125.0 ml,,,,sin clasificar
0000042277132,NIVEA,Desmaquillador de Ojos Bifasico en Botella Nivea 125 Ml,125.0 ml,,,,sin clasificar
0000042277705,NIVEA,Crema Facial Cuidado Radiante Nivea 50 Ml,50.0 ml,,,,sin clasificar
0000042277712,NIVEA,Crema Facial Cuidado Radiante Nivea 100 Ml,100.0 ml,,,,sin clasificar
0000042277842,NIVEA,Desodorante Antitranspirante en Barra Nivea Protect and Care 43 Gr,43.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000042300076,NIVEA,Crema Facial Cuidado Nivea 50 Ml,50.0 ml,,,,sin clasificar
0000042300083,NIVEA,Crema Facial Cuidado Nivea 100 Ml,100.0 ml,,,,sin clasificar
0000042333401,NIVEA,Crema Facial Cuidado Sensitive Nivea 50 Ml,50.0 ml,,,,sin clasificar
0000042333418,NIVEA,Crema Facial Cuidado Sensitive Nivea 100 Ml,100.0 ml,,,,sin clasificar
0000042345466,NIVEA,Crema de Manos Vainilla Nivea 75 Ml,75.0 ml,,,,sin clasificar
0000042389422,NIVEA,Crema Cuidado Facial Nivea 200 Ml,200.0 ml,,,,sin clasificar
0000057892054,LA BLANCA,Pate de Foie La Blanca 90 Gr,90.0 gr,,,,sin clasificar
0000075001629,SOL,Cerveza Rubia Sol Lager 330 Cc,330.0 cc,Bebidas con Alcohol,Cervezas,,inferida
0000075002817,NEGRA MODELO,Cerveza Negra Negra Modelo 330 Cc,330.0 cc,Bebidas con Alcohol,Cervezas,,inferida
0000075024956,REXONA,Desodorante Antitranspirante en Barra Men V8 Rexona 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075026455,REXONA,Desodorante Stick Nutritivo Rexona 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075027513,DOVE,Desodorante Original Dove 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075027537,DOVE,Desodorante Invisible Dry Dove 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075030889,CORONA,Cerveza Rubia Porron Corona 210 Ml,210.0 ml,Bebidas con Alcohol,Cervezas,,inferida
0000075031060,DOVE,Desodorante en Barra Dove Clean Comfort 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075031589,NEGRA MODELO,Cerveza Long Neck Negra Modelo 355 Cc,355.0 cc,Bebidas con Alcohol,Cervezas,,inferida
0000075032715,CORONA,Cerveza Rubia Corona 335 Cc,355.0 cc,Bebidas con Alcohol,Cervezas,,inferida
0000075043308,AXE,Desodorante Apollo Stick en Barra Axe 54 Gr,54.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075047849,REXONA,Desodorante en Barra Antibacterial Mujer Rexona 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075047856,REXONA,Desodorante en Barra Antibact Hombre Rexona 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075048099,AXE,Desdorante Stick Black en Barra Axe 54 Gr,54.0 gr,,,,sin clasificar
0000075050849,DOVE,Desodorante Roll On Powder Soft Dove 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075051747,AXE,Desodorante Adrenaline Stick en Barra Axe 50 Gr,50.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075058845,REXONA,Desodorante Roll On Women Antibacterial Invisible Rexona 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075058852,REXONA,Desodorante Roll On Men Antibacterial Invisible Rexona 50 Ml,50.0 ml,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000075062613,GILLETTE,Espuma de Afeitar Sensitive Gillette 56 Gr,56.0 gr,Perfumería y Cuidado Personal,Afeitado,,inferida
