id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
7792222042502,NUGATÓN,Chocolate Black Nugaton 3 Un 81 Gr,81.0 gr,Almacén,Snacks y Golosinas,,inferida
7792222042540,COSTA,Bolitas de Chocolate Cereal Crocante Vizzio 140 Gr,140.0 gr,Almacén,Snacks y Golosinas,,inferida
7792222885499,BILLIKEN,Pastillas de Goma Frutilla Crema Billiken 25 Gr,25.0 gr,Frescos,Frutas,,inferida
7792239000090,GRAN DIPLOMA,Galletitas Azucaradas con Sal y Gluten Gran Diploma 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792239000106,GRAN DIPLOMA,Galletitas de Maiz con Sal y Gluten Gran Diploma 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792239000113,GRAN DIPLOMA,Galletitas de Maiz sin Sal y Gluten Gran Diploma 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792239000120,GRAN DIPLOMA,Galletitas de Agua sin Sal con Gluten Gran Diploma 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792239000137,GRAN DIPLOMA,Galletitas de Agua con Sal y Gluten Gran Diploma 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792239000144,GRAN DIPLOMA,Galletitas de Salvado con Sal y Gluten Gran Diploma 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792239000151,GRAN DIPLOMA,Galletitas de Salvado sin Sal y Gluten Gran Diploma 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792239010006,GRAN DIPLOMA,Galletitas Azucaradas sin Sal y Gluten Gran Diploma 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792240000263,PRACTICAN,Bolsas de Residuos 45x60 Cm Practican 30 Un,30.0 un,Limpieza,Descartables,,inferida
7792241000019,SANTA BÁRBARA,Azucar Comun Santa Barbara 1 Kg,1.0 kg,Almacén,Condimentos y Salsas,,inferida
7792241000071,SELCA,Azucar Comun Selca 1 Kg,1.0 kg,Almacén,Condimentos y Salsas,,inferida
7792244000313,JULIANA LÓPEZ MAY,Mayonesa Zanahoria Juliana Lopez May 265 Gr,265.0 gr,Frescos,Verduras,,inferida
7792244001020,CHANTAL,Queso Camembert Chantal 200 Gr,200.0 gr,Frescos,Lácteos,,inferida
7792244001235,JULIANA LÓPEZ MAY,Mostaza Juliana Lopez May 230 Gr,230.0 gr,Almacén,Condimentos y Salsas,,inferida
7792244001266,JULIANA LÓPEZ MAY,Mayonesa Remolacha Juliana Lopez May 265 Gr,265.0 gr,Almacén,Condimentos y Salsas,,inferida
7792244002348,HERR KUKUMBER,Pepinillos en Conserva Herr Kukumber 370 Ml,370.0 ml,Almacén,Conservas,,inferida
7792244911879,STABZ,Aceitunas Rellenas de Salmon Lata Stabz 200 Gr,200.0 gr,Frescos,Pescadería,,inferida
7792244911886,STABZ,Aceitunas Rellenas de Anchoa Lata Stabz 200 Gr,200.0 gr,Almacén,Conservas,,inferida
7792244911893,STABZ,Aceitunas Rellenas de Alcaparras Lata Stabz 200 Gr,200.0 gr,Almacén,Conservas,,inferida
7792244911916,STABZ,Aceitunas Rellenas de Atun Lata Stabz 200 Gr,200.0 gr,Almacén,Conservas,,inferida
7792244911923,STABZ,Aceitunas Rellenas Jalape O Lata Stabz 200 Gr,200.0 gr,Almacén,Conservas,,inferida
7792244911930,STABZ,Aceitunas Rellenas de Pimiento Suave Lata Stabz 200 Gr,200.0 gr,Frescos,Verduras,,inferida
7792249000028,PRUNELLE,Crema Prunelle Arandano y Manzana 250 Cc,250.0 cc,Frescos,Frutas,,inferida
7792249000066,PRUNELLE,Crema Prunelle Arandano y Manzana 450 Cc,450.0 cc,Frescos,Frutas,,inferida
7792249000349,PRUNELLE,Tratamiento Capilar Prunelle Aloe 265G,265.0 gr,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000646,PRUNELLE,Shampoo Hierbas Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000691,PRUNELLE,Shampoo Manzana Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
7792249000707,PRUNELLE,Shampoo Extravitaminas Prunelle 1 Lt,1.0 lt,Perfumería y Cuidado Personal,Cuidado Capilar,,inferida
